"LOGIN DATE/TIME","LOGOUT DATE/TIME",USERNAME,"MAC ADDRESS","IP ADDRESS","IPV6 ADDRESS",ZONE,"NAS ID",REASON,"TOTAL TIME","AVERAGE SPEED","TRAFFIC USED",CLASS,BRAND,MODEL,TENANT
"2022-02-09 17:13:34","2022-02-09 17:14:34",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0635,0.1480,Desktop,Unknown,Unknown,default
"2022-02-09 17:14:35","2022-02-09 17:15:35",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0850,0.1699,Desktop,Unknown,Unknown,default
"2022-02-09 17:15:36","2022-02-09 17:16:37",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0488,0.1509,Desktop,Unknown,Unknown,default
"2022-02-09 17:16:38","2022-02-09 17:17:38",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0547,0.1933,Desktop,Unknown,Unknown,default
"2022-02-09 17:17:39","2022-02-09 17:18:39",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0498,0.1734,Desktop,Unknown,Unknown,default
"2022-02-09 17:18:40","2022-02-09 17:19:40",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0557,0.1421,Desktop,Unknown,Unknown,default
"2022-02-09 17:19:41","2022-02-09 17:20:41",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1660,0.3559,Desktop,Unknown,Unknown,default
"2022-02-09 17:20:42","2022-02-09 17:21:42",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1240,0.2201,Desktop,Unknown,Unknown,default
"2022-02-09 17:21:44","2022-02-09 17:22:44",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0771,0.2098,Desktop,Unknown,Unknown,default
"2022-02-09 17:22:45","2022-02-09 17:23:45",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.4033,0.9994,Desktop,Unknown,Unknown,default
"2022-02-09 17:23:46","2022-02-09 17:24:46",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0752,0.2903,Desktop,Unknown,Unknown,default
